id;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;square_feet;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights
8254405;House;Private room;2;1.0;1.0;1.0;Real Bed;"{Internet,Wifi,Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials}";;$42.00;$300.00;$1,070.00;$150.00;$35.00;1;$20.00;1
19717109;Apartment;Entire home/apt;5;2.5;2.0;3.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",Bathtub,""Room-darkening shades"",""Game console""}";;$700.00;;;$0.00;$150.00;1;$0.00;2
23061804;Boutique hotel;Private room;1;4.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Paid parking off premises"",Elevator,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",""Building staff"",""Hot water""}";;$67.00;;;$250.00;$0.00;1;$0.00;30
6774866;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Host greets you""}";;$50.00;$541.00;$1,700.00;$0.00;$50.00;1;$0.00;31
6553268;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,Washer,""Smoke detector"",""Carbon monoxide detector""}";;$357.00;;$8,000.00;;;1;$0.00;1
28684167;Apartment;Entire home/apt;2;2.0;2.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Gym,Washer,Essentials,Iron}";;$305.00;;;;$486.00;1;$0.00;30
21665031;Other;Private room;1;1.0;0.0;1.0;Real Bed;"{Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Hot tub"",""Buzzer/wireless intercom"",Heating,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";;$32.00;;;;;1;$0.00;3
329310;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";800.0;$250.00;$2,000.00;$5,000.00;;$100.00;2;$100.00;10
22100970;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Long term stays allowed"",Other}";;$142.00;;;$500.00;$150.00;1;$0.00;30
22312190;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{Wifi,""Air conditioning"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Host greets you""}";;$84.00;;;$0.00;$11.00;1;$34.00;2
