camis,dba,zipcode,cuisine_description
50033317,DAI HING RESTAURANT,11435.0,Chinese
50032911,LITUATION LOUNGE,11419.0,"Bottled beverages, including water, sodas, juices, etc."
50053957,MARY WORLD FIT,11368.0,Other
50033659,NEW CREAT TAYSTEE GARDENS,11415.0,Chinese
41714316,CHEUNG HING KITCHEN,11434.0,Chinese
41513768,NEW KIM'S CHINESE FOOD,11422.0,Chinese
41175823,DUNKIN' DONUTS,11428.0,Donuts
50079234,NICK'S KITCHEN,11360.0,American
41126295,JOUR ET NUIT CAFE AND RESTAURANT,11103.0,Caf̩/Coffee/Tea
50008765,WOL HOE BONG,11358.0,Korean
41567176,CARVEL ICE CREAM,11372.0,"Ice Cream, Gelato, Yogurt, Ices"
41701493,"DUNKIN' DONUTS, BASKIN ROBBINS",11420.0,Donuts
50064195,THE DUMPLING HOUSE,11373.0,Chinese
50066936,CAPYBARA,11385.0,"Juice, Smoothies, Fruit Salads"
50077525,LAVOO CAFE,11364.0,Other
41356229,INCHEON RESTAURANT,11358.0,Korean
50048943,DBSK,11354.0,Korean
50018783,PATE/ROLL SMASH,11361.0,Asian
50033403,GUIZHOU MIAOJIA NOODLES,11354.0,Chinese
41646313,SHISHA LOUNGE,11419.0,American
50000404,LCLE BAR,11355.0,Chinese
50018021,POLLO CAMPERO,11435.0,Spanish
41672897,YUMMY TACO,11434.0,Tex-Mex
41327097,SURFSIDE BAGELS,11693.0,Bagels/Pretzels
41384689,WASABI POINT,11373.0,Asian
40866304,DOMINO'S,11103.0,Pizza
50001778,PEET'S COFFEE & TEA/JETBOX/ DUNKIN' DONUTS,11430.0,American
50071968,REBAR BY THE BRIDGE,11357.0,American
41417901,PALADARES BAKERY & RESTAURANT,11368.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50083636,SUSHI A GOGO,11378.0,Other
41323353,NEW SUN MARY BAKERY,11355.0,Bakery
50039666,NEW SZECHUAN HOUSE,11377.0,Chinese
41260089,ASO ROCK LOUNGE AND RESTAURANT,11434.0,African
50035987,BEIJING DUMPLING,11435.0,Chinese
50066469,DARBAR'S CHICKEN & RIBS,11419.0,American
41240648,CANTON GOURMET RESTAURANT,11354.0,Chinese
41551354,PREMIUM SWEETS & RESTAURANT,11372.0,Bangladeshi
41302020,PAMPAS ARGENTINAS,11375.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50040265,JERK PAN KUSINE,11429.0,Caribbean
50019232,KIMBOB NARA,11354.0,Korean
