nRest,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type
41362423,09/07/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",not critical,2.0,A,Cycle Inspection / Initial Inspection
50063064,09/05/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",CRITICAL,13.0,A,Cycle Inspection / Re-inspection
40972083,05/15/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",not critical,13.0,A,Cycle Inspection / Initial Inspection
41381335,07/26/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,critical,24.0,,Cycle Inspection / Compliance Inspection
41139007,11/27/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,11.0,A,Cycle Inspection / Re-inspection
41428580,03/21/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28.0,,Cycle Inspection / Initial Inspection
41686215,06/19/2018,Establishment re-opened by DOHMH,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,not critical,15.0,P,Cycle Inspection / Reopening Inspection
50044125,12/06/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35.0,Z,Cycle Inspection / Re-inspection
41215188,05/06/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,40.0,,Cycle Inspection / Initial Inspection
50005692,01/26/2018,Violations were cited in the following area(s).,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",NOT CRITICAL,,,Trans Fat / Re-inspection
