camis;dba;zipcode;cuisine_description
50065990;MICHELANGELO'S PIZZA;10310.0;Pizza
50048317;THE BURRITO SPOT;10314.0;Mexican
41033197;WENDY'S;10314.0;Hamburgers
40423440;BUONO BAKERY;10305.0;Bakery
50000703;PATRIZIA'S OF BROOKLYN;10306.0;Italian
50037627;B & Y CATERING (Jewish Community Center);10314.0;Jewish/Kosher
41425977;EMPIRE EAST;10306.0;Chinese
50063108;CREPES DU NORD;10314.0;Pancakes/Waffles
50004408;DI DI;10302.0;Chinese
50004408;DI DI;10302.0;Chinese
40937528;GARIBALDI DELI RESTAURANT;10304.0;Mexican
41377235;HOLY SCHNITZEL;10314.0;Jewish/Kosher
40536227;JADE ISLAND RESTAURANT;10314.0;Chinese
40912964;NUCCI'S SOUTH;10309.0;Italian
41614624;ISLAND COFFEE SHOP;10314.0;American
41717895;LOON CHUAN RESTAURANT;10309.0;Chinese
50010629;PANINI GRILL;10310.0;Italian
50051513;GOLDEN PALACE;10312.0;Chinese
40373118;GOLDEN DOVE DINER;10312.0;American
41174904;TONY'S PIZZERIA;10312.0;Pizza
50052334;FLAMING GRILL & SUPREME BUFFET;10302.0;Asian
50078963;RONNIE'S SANDWICH SHOPPE;10306.0;Delicatessen
41705628;PIZZA MIA;10305.0;Pizza
41176514;FRESH TORTILLAS & TACOS;10306.0;Tex-Mex
41086217;MIKES OLYMPIC GRILL;10302.0;American
50034871;HO'BRAH A TACO JOINT;10301.0;Mexican
50061281;JOE & PAT'S;10314.0;Pizza/Italian
41679915;LA NUEVA CANASTA;10305.0;Mexican
41155817;MCDONALD'S;10304.0;Hamburgers
40424488;RENATO'S PASTRY SHOP;10302.0;Bakery
50072710;SHORTY'S ROTI SHOP;10301.0;Caribbean
50040391;RIVER DOCK BAR & GRILL;10301.0;American
50004099;JAC MAO CHINESE CUISINE;10305.0;Chinese
40962170;SUBWAY;10314.0;Sandwiches
41036469;VILLAGGIO PIZZERIA RESTAURANT;10307.0;Pizza/Italian
50056878;7 DAYS RESTAURANT;10301.0;Chinese
40387243;JIMMY MAX RESTAURANT;10314.0;American
50060551;TRACKSIDE BAR & GRILL;10306.0;American
40373118;GOLDEN DOVE DINER;10312.0;American
50083711;CHICK-FIL-A AT STATEN ISLAND MALL;10314.0;American
41636059;REGGIANO'S BRICK OVEN PIZZA;10307.0;Italian
50010414;RED MANGO;10314.0;Ice Cream, Gelato, Yogurt, Ices
50034118;PHO MAC VIETNAMESE FOOD;10314.0;Vietnamese/Cambodian/Malaysia
50006804;NURNBERGER;10310.0;German
41593751;RINCONCITO PAISA-COLOMBIAN BAKERY & RESTAURANT;10303.0;Latin (Cuban, Dominican, Puerto Rican, South & Central American)
41509593;MONA LISA PIZZERIA & RISTORANTE;10312.0;Pizza/Italian
40510804;WOODROW DINER;10309.0;American
50015617;CHEF HONG;10307.0;Chinese
41303560;BLU ON THE BAY;10304.0;Spanish
50003027;MOE'S SOUTHWEST GRIIL;10312.0;Southwestern
50075839;DOMINO'S;10305.0;Pizza
41271464;CAROUSEL FOR ALL CHILDREN;10314.0;Hotdogs/Pretzels
41714251;MAMMY'S SPORTS BAR;10302.0;Spanish
41167580;POCO LOCO BAR;10301.0;Latin (Cuban, Dominican, Puerto Rican, South & Central American)
50040054;MOLO;10305.0;Pizza
50067421;Precious Island Tea Shop;10306.0;Chinese
40387746;ROSEBANK TAVERN;10305.0;American
50052334;FLAMING GRILL & SUPREME BUFFET;10302.0;Asian
50065881;ROLLING COW;10314.0;Ice Cream, Gelato, Yogurt, Ices
40423819;ALFONSO'S PASTRY SHOPPE;10314.0;Bakery
50000281;DAIRY QUEEN GRILL & CHILL;;American
41710730;NORTH SHORE PIZZERIA & RESTAURANT;10302.0;Pizza
50004139;FORTUNE COOKIE;10302.0;Chinese
41151158;DOMENICOS PIZZERIA;10309.0;Pizza/Italian
41350965;MOTHER PUGS SALOON;10302.0;American
40979119;DUNKIN' DONUTS;10301.0;Donuts
50047645;BOCELLI'S;10305.0;Italian
41535549;PRONTO PIZZA;10310.0;Italian
41603129;JOE'S LOBSTER HOUSE;10305.0;Seafood
50080644;VIVI BUBBLE TEA;10310.0;Other
40782999;WENDY'S;10314.0;Hamburgers
