song_id;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
5TtNpBiVb0frGgr63WEyyv;0.781;0.423;1;-9,22;0.192;0.239;0.268;0.104;0.307;160.078;220439
4UkEnTEStVzuPoRB27sK4J;0.829;0.414;2;-17,166;0.0717;0.51;0.00506;0.0889;0.917;95.047;242173
1NFphvohpmurl1NPmkVdzT;0.77;0.506;6;-8,303;0.345;0.11;0.0;0.2;0.645;121.906;244000
0HvrW09sl0aoAEmlIcZ9s6;0.88;0.464;9;-6,822;0.0419;0.0409;0.000304;0.0585;0.825;91.432;214493
74EV0g12ihUoOUXMprFpZB;0.672;0.841;9;-5,992;0.0285;0.0767;0.0;0.135;0.82;125.437;267733
3iqd7tTlACorSbFFwAGc7Q;0.699;0.67;5;-9,465;0.0561;0.135;0.0;0.138;0.76;95.984;247800
4m3gxoAguorjKhon1lclXI;0.868;0.51;11;-13,14;0.307;0.337;0.0;0.0738;0.781;89.866;248640
7ef4DlsgrMEH11cDZd32M6;0.791;0.862;9;-3,24;0.11;0.037;2.19e-05;0.0814;0.592;123.994;214847
5pAbCxt9e3f81lOmjIXwzd;0.757;0.737;4;-6,728;0.114;0.311;0.0;0.113;0.635;98.057;207031
5DuTNKFEjJIySAyJH1yNDU;0.947;0.607;10;-10,58;0.202;0.0249;4.76e-06;0.0861;0.732;100.619;431800
5bvnqVuq7UFl0txSlHpsfS;0.866;0.53;0;-6,347;0.0495;0.517;0.00159;0.0946;0.203;104.952;197973
7Feaw9WAEREY0DUOSXJLOM;0.661;0.723;5;-6,976;0.0566;0.179;1.23e-05;0.14;0.316;113.778;163805
1Laz0NZ0URkQVnw3TyZcvw;0.633;0.616;11;-10,087;0.271;0.234;3.7e-05;0.0895;0.52;87.283;353760
0pwYLVXVknPSGUQb39cePC;0.571;0.873;0;-3,382;0.0997;0.0807;0.0;0.361;0.613;139.691;229467
7MRU4vOkywuhZ9kbFiPuiu;0.691;0.894;9;-1,681;0.115;0.291;0.0;0.104;0.623;184.019;241880
7k7vlfNo7gD2tP6UxJrG47;0.812;0.439;8;-7,093;0.0846;0.351;0.0133;0.0909;0.594;94.0;215613
31ue6kAOfrqVrdoPdfkq40;0.642;0.79;11;-6,8;0.0681;0.151;0.000583;0.305;0.613;114.96;283933
6kFPBOtSOIlrleJNkZ6ESF;0.738;0.934;6;-3,729;0.12;0.00176;0.0;0.0473;0.547;104.97;201160
1mhVXWduD8ReDwusfaHNwU;0.565;0.454;1;-11,091;0.0461;0.265;0.0;0.181;0.312;74.809;334333
6pkttXoVimxUSMFbQb52e2;0.645;0.622;5;-8,215;0.0456;0.182;0.753;0.0769;0.377;87.036;268171
57vxBYXtHMk6H1aD29V7PU;0.531;0.75;10;-5,831;0.111;0.00632;7.6e-05;0.117;0.198;169.954;200080
76bqpXdcQBtnQw6ByKQjvO;0.741;0.219;10;-11,878;0.0813;0.853;0.935;0.109;0.519;156.116;104620
263vZeewsC57W2EYZfzejA;0.735;0.861;5;-3,751;0.0422;0.053;1.46e-05;0.104;0.458;114.043;209079
17lCCiD4GknuLyXi8m1DV5;0.745;0.651;9;-7,94;0.374;0.182;0.0;0.128;0.696;164.023;213448
5CxWsqMLQdUhjsJ4Y6Ml8E;0.952;0.614;11;-6,118;0.171;0.00208;0.000594;0.0856;0.529;122.031;119707
2WfNrjgXHbtAPnklXDc9y4;0.786;0.797;0;-4,616;0.0338;0.22;4.17e-05;0.521;0.972;113.999;187000
5unmsMTn84dE2kb3kz4wfe;0.608;0.979;9;-6,184;0.0279;0.119;0.000878;0.156;0.653;131.985;215800
5ahbge6cAozopYL2EeJg82;0.535;0.361;9;-16,82;0.0542;0.441;1.25e-05;0.317;0.442;75.795;233667
0WqfoaxUvOhkOcUYv0rtLx;0.606;0.893;2;-5,411;0.0705;0.46;0.000249;0.148;0.774;195.961;194427
1Er25HUjQ73Iqc70QfmZPU;0.796;0.712;10;-4,47;0.0541;0.0424;0.00032;0.455;0.478;94.97;211093
6QicTxeiSaRkPnkGDUvYOs;0.834;0.831;7;-6,061;0.0745;0.00799;0.0;0.217;0.788;103.009;163960
5dR7h8Rxj1ko6f9dmKQc77;0.515;0.795;4;-6,93;0.423;0.427;0.032;0.4;0.452;175.871;227451
52yOf7Ls1u5AO3cFIzQ58m;0.7;0.714;9;-6,295;0.104;0.122;0.0;0.0428;0.458;99.909;234308
78Nyf6RlqBANlMhSnKyClT;0.68;0.883;11;-3,862;0.103;0.284;0.0;0.14;0.834;101.983;200566
